"new_it001" "new_it002" "new_it003" "new_it004" "old_it003" "old_it006" "old_it010" "old_it011" "old_it018" "old_it025" "old_it026" "old_it032" "old_it037" "old_it040" "old_it046" "old_it047" "old_it049" "old_it055" "old_it057" "old_it062" "old_it066" "old_it067" "old_it069" "old_it071"
"old_it026" 1.07690329106491 1.07764508705601 1.06622911577324 1.0356364508288 1.05710898576442 1.10717832698475 1.00642480099425 1.10583079154257 1.09242496207474 0.949239416143881 0 1.05508003751831 1.10201811846404 1.0688248617009 1.08471122733324 1.08249106730531 1.05719765833167 1.09248135457763 1.17656392699797 1.18255636675743 1.09531901991117 1.08469253347996 1.14861090379684 1.10621125066016
"old_it032" 1.08440145687936 1.06508450798796 1.11271831851684 1.09359901100759 1.12851754592719 1.10275073551547 1.05350684535617 1.06655419689939 0.978407595819684 1.06401271453522 1.05508003751831 0 1.09432723446121 1.12382154564939 1.05911626211906 1.11402440136988 1.06494495379057 1.09589901893462 1.14236223841417 1.08782713272348 1.10908301651821 1.05007401741672 1.19433613177666 1.07367975678985
"old_it037" 1.06672826854273 1.10775314125495 1.10868318783256 1.13591979874956 1.09617355986653 1.16112917386405 1.05332830300949 1.11622466268373 1.11322175945139 1.06568697071477 1.10201811846404 1.09432723446121 0 1.01925789401441 1.06204204994728 1.0817580918274 1.05366601865064 1.05338201857455 1.14360879226465 1.09679367384378 1.0907991327427 1.02333904449754 1.10381062047364 1.00202921547794
"old_it040" 1.17881735879705 1.11377872626766 1.17396752660402 1.12193784190075 1.14868501769519 1.20301545716604 1.06053651519502 1.19626867351639 1.18877342052212 1.12166755140812 1.0688248617009 1.12382154564939 1.01925789401441 0 1.05542627902758 1.04962535858429 1.0306598471128 1.02528339956791 1.13812575564904 1.140481511272 1.07961273934368 1.05355346528417 1.13501064611951 1.04369260148949
"old_it046" 1.15106518656286 1.11969581240396 1.13514906141744 1.15066890252036 1.12878444359455 1.14507438144059 1.0294286156251 1.1197158234172 1.08013793836389 1.09726101455257 1.08471122733324 1.05911626211906 1.06204204994728 1.05542627902758 0 1.05709371990324 1.02518249512206 1.04434617725479 1.0733239092443 1.11619077126277 1.0553534455112 1.0474595307527 1.12283853525267 1.05849255155848
"old_it047" 1.13551615464754 1.12927449135914 1.11260151261048 1.09189693266872 1.10413385081945 1.07962271255807 1.04911812903234 1.10578235957957 1.1258486790438 1.07857694634113 1.08249106730531 1.11402440136988 1.0817580918274 1.04962535858429 1.05709371990324 0 0.99879295015785 1.01992927652888 0.962218116134203 1.01011924258479 1.00135527785757 0.946018760122773 0.902587636431747 1.06541049216658
"old_it049" 1.06173867254232 1.09525695252249 1.11203863740901 1.07883223863847 1.09165570781767 1.1049337974269 0.993087131598097 1.08457239252834 1.0814665560465 1.07311412703104 1.05719765833167 1.06494495379057 1.05366601865064 1.0306598471128 1.02518249512206 0.99879295015785 0 0.912606995031207 1.03321871139009 1.0247413007825 0.986666049238093 0.960815907810568 1.05573670884039 1.00457211153395
"old_it055" 1.10102776747416 1.10640494401063 1.08702204405588 1.10521977534837 1.081862483958 1.08615458372911 0.994137273262629 1.11807285910176 1.03299891697797 1.09439294799965 1.09248135457763 1.09589901893462 1.05338201857455 1.02528339956791 1.04434617725479 1.01992927652888 0.912606995031207 0 0.985947654728694 0.974039665243497 0.981077025023128 0.882640107101594 1.03177700413181 1.09686932283507
"old_it057" 1.14115263604535 1.14980229116203 1.12121563064299 1.14906611475067 1.12291712970332 1.07906282687308 1.09229866598393 1.12680596193795 1.1154811839018 1.13801690388647 1.17656392699797 1.14236223841417 1.14360879226465 1.13812575564904 1.0733239092443 0.962218116134203 1.03321871139009 0.985947654728694 0 1.0567120671144 1.0024713851222 1.01425714753075 0.93987310915957 1.05450166216427
"old_it062" 1.11692525824305 1.16550893273349 1.17314561322437 1.1780076643609 1.16499646797184 1.06507389834394 1.09468969932443 1.0556206042727 1.14288733618169 1.11175345512825 1.18255636675743 1.08782713272348 1.09679367384378 1.140481511272 1.11619077126277 1.01011924258479 1.0247413007825 0.974039665243497 1.0567120671144 0 0.981848153006088 1.00193657000437 1.10834537828298 1.12671008649497
"old_it066" 1.11236325425583 1.08912710763626 1.13050757477255 1.07482427153014 1.12282431659483 1.17372830963048 1.02690720281691 1.08447436943389 1.12341177272909 1.01655867949823 1.09531901991117 1.10908301651821 1.0907991327427 1.07961273934368 1.0553534455112 1.00135527785757 0.986666049238093 0.981077025023128 1.0024713851222 0.981848153006088 0 0.956085796438796 1.03732488211066 0.997896881754431
"old_it067" 1.05446755801514 1.13772650394902 1.08008615573579 1.09141566194737 1.06715706752527 1.07302479133854 1.01315428844492 1.103461407886 1.06115469166735 1.07335606760857 1.08469253347996 1.05007401741672 1.02333904449754 1.05355346528417 1.0474595307527 0.946018760122773 0.960815907810568 0.882640107101594 1.01425714753075 1.00193657000437 0.956085796438796 0 0.956440565744843 1.04521657895389
"old_it069" 1.15692898723437 1.17548457185528 1.10323639798215 1.12501543885731 1.0992007261386 1.11666595639361 1.07276991591642 1.15446055935481 1.10437158823054 1.13268025278477 1.14861090379684 1.19433613177666 1.10381062047364 1.13501064611951 1.12283853525267 0.902587636431747 1.05573670884039 1.03177700413181 0.93987310915957 1.10834537828298 1.03732488211066 0.956440565744843 0 1.06315321182936
"old_it071" 1.11063582610099 1.10721316073601 1.10958487364828 1.1055272343306 1.08852073898676 1.17101024492381 1.06410607906444 1.15172460793449 1.15551449036446 1.10936695356669 1.10621125066016 1.07367975678985 1.00202921547794 1.04369260148949 1.05849255155848 1.06541049216658 1.00457211153395 1.09686932283507 1.05450166216427 1.12671008649497 0.997896881754431 1.04521657895389 1.06315321182936 0
