"de_002" "de_003" "de_004" "decd_001" "decd_002" "decd_006"
"auf" 0.687320128660911 0.781066017740796 0.807499535919807 0.917762103238217 0.917578234563449 0.664558412392869
"sagte" 1.08684611477908 0.93413925739854 1.08285378380051 0.47290798332799 0.472813238770686 0.554562537238187
"mich" 0.453699001185035 0.608368003767957 0.516675948270528 1.04600833600513 1.04579877389109 1.02204500664558
"daß" 0.805823599119688 0.698641965617395 0.751809912752924 0.685315806348189 0.685178507032095 0.829552225124891
"was" 0.826138479769765 0.647617552398147 0.79821793205866 0.67329272202629 0.673157831470129 0.811219579265777
"an" 0.69070594210259 0.781066017740796 0.677557081863746 0.697338890670087 0.697199182594062 0.522480406984738
"so" 0.606060606060606 0.525943951644556 0.550708495761401 0.713369669765951 0.713226750010017 0.696640542646317
"hat" 0.707635009310987 0.259047020959259 0.488831136687086 0.549054184033344 0.548944183996474 0.83413538658967
"wie" 0.497714575926866 0.494544312740404 0.498112740548233 0.617184995190766 0.617061345514285 0.618726797745085
"als" 0.494328762485187 0.38072062171285 0.535239155992822 0.629208079512664 0.629082021076251 0.559145698702965
"sich" 0.572202471643812 0.474919538425308 0.473361796918507 0.51298493106765 0.512882157310574 0.600394151885971
"dann" 0.474013881835111 0.42389512520606 0.454798589196213 0.537031099711446 0.536923508434507 0.577478344562079
"noch" 0.419840866768241 0.368945757123793 0.457892457149929 0.565084963129208 0.564971751412429 0.536229891379073
"eine" 0.396140172676486 0.51024413219248 0.417672173751624 0.55306187880731 0.552951075850463 0.43081717768917
"auch" 0.4266124936516 0.549493680822671 0.507394344409381 0.428823340814364 0.428737428376808 0.472065630872176
"habe" 0.0846453360419841 0.345396027945679 0.123754718148629 0.757454312279577 0.757302560403895 0.94871442320913
"kristy" 0.927712883020146 0.808540701781929 0.764185384567787 0 0 0
"von" 0.42322668020992 0.404270350890965 0.445516985335066 0.476915678101956 0.476820130624674 0.490398276731289
"dem" 0.47739969527679 0.329696208493602 0.433141513520203 0.43283103558833 0.432744320230797 0.522480406984738
"ja" 0.470628068393432 0.502394222466442 0.44242311738135 0.368707919204873 0.368634050566975 0.426234016224392
"wenn" 0.457084814626714 0.376795666849831 0.383639626260751 0.428823340814364 0.428737428376808 0.444566662083505
"hatte" 0.369053665143051 0.482769448151346 0.392921230121898 0.404777172170567 0.404696077252875 0.325404463999267
"ihr" 0.433384120534959 0.439594944658136 0.473361796918507 0.276530939403655 0.276475537925231 0.435400339153948
"aus" 0.365667851701371 0.282596750137373 0.39910896602933 0.4127925617185 0.412709860960853 0.329987625464045
"nach" 0.260707635009311 0.345396027945679 0.324856135140152 0.416800256492466 0.416716752814842 0.297905495210596
"einen" 0.257321821567632 0.404270350890965 0.352700946723594 0.376723308752805 0.376647834274953 0.210825427379807
"für" 0.341967157609616 0.431745034932098 0.340325474908731 0.212407823020199 0.21236526826141 0.362069755717494
"wieder" 0.26747926189267 0.219797472329068 0.290823587649279 0.428823340814364 0.428737428376808 0.288739172281039
"meine" 0.31826646351786 0.376795666849831 0.340325474908731 0.312600192369349 0.312537564611131 0.224574911774142
"schon" 0.304723209751143 0.262971975822278 0.290823587649279 0.356684834882975 0.356613375005009 0.320821302534488
"da" 0.413069239884882 0.196247743150954 0.42076604170534 0.256492465533825 0.256441078655287 0.279572849351483
"jetzt" 0.274250888776028 0.243347201507183 0.324856135140152 0.344661750561077 0.344592699443042 0.307071818140153
"bin" 0.230235314034197 0.172698013972839 0.281541983788132 0.372715613978839 0.372640942420964 0.439983500618727
"um" 0.209920433384121 0.29829656958945 0.225852360621249 0.384738698300737 0.384661617982931 0.325404463999267
"mal" 0.32165227695954 0.129523510479629 0.293917455602995 0.340654055787111 0.340585807589053 0.357486594252716
"ganz" 0.325038090401219 0.129523510479629 0.340325474908731 0.304584802821417 0.304523780903153 0.34373710985838
"uns" 0.32165227695954 0.478844493288327 0.35579481467731 0.176338570054505 0.17630324157551 0.210825427379807
"im" 0.331809717284578 0.247272156370202 0.204195284945239 0.304584802821417 0.304523780903153 0.375819240111829
"haben" 0.308109023192822 0.235497291781145 0.331043871047584 0.236453991663995 0.236406619385343 0.192492781520693
"nur" 0.230235314034197 0.215872517466049 0.16706886950065 0.308592497595383 0.308530672757142 0.380402401576608
