"old_es002" "old_es004" "old_es008" "old_es009" "old_es012" "old_es014" "old_es015" "old_es016" "old_es018" "old_es019" "old_es022" "old_es024" "old_es027" "old_es028" "old_es029" "old_es030" "old_es032" "olds_es030"
"mi" 0.441540725849876 0.598723600236858 0.364667747163695 0.657583871475823 0.774530027633986 0.504801772962325 0.477407713705736 0.41933980860901 0.394710874284587 0.667349182876427 0.348405078971818 0.443912607118042 0.533419542552332 0.848219520775515 0.424645146070066 0.661608043957687 0.382175342046931 0.661608043957687
"kristy" 0.96923573967046 0.858609119020988 0.356564019448947 0.444951960938731 0.400887401237691 0.574571123696955 0.409743628298624 0.354825991899932 0.627590290112493 0.762143100898646 0.956178383400434 0.065621863660928 0.367736199789865 0.300981120275183 0.487555538080447 0.441072029305125 0.103187342352671 0.441072029305125
"del" 0.427181677854758 0.411211263898941 0.486223662884927 0.444951960938731 0.525434943369789 0.545842567512107 0.545071799112849 0.548367442027167 0.59206631142688 0.466386076669321 0.437441932486838 0.490233922643403 0.432393114038633 0.371340343196654 0.526874533086934 0.388741449557059 0.401284109149278 0.388741449557059
"claudia" 0.211795957927989 0.555957628791368 0.145867098865478 0.393762797290912 0.377534737087923 0.566362964786998 0.462371250281934 0.329737285401957 0.647325833826722 0.25025594357866 0.665840817590585 0.779742144676909 0.29903822840055 0.469061486143142 0.290960563048008 0.272866594400628 0.424214629672094 0.272866594400628
"cuando" 0.355386437879169 0.358576222119876 0.340356564019449 0.362261773507639 0.451484840228856 0.426824263317738 0.323283963611759 0.415755707680728 0.430234852970199 0.379175672088879 0.375503251780737 0.331969427931753 0.440475228319728 0.410428800375249 0.408917548067471 0.426120435091392 0.447145150194909 0.426120435091392
"qué" 0.62461858778763 0.47371537601158 0.388978930307942 0.40163805323673 0.498190168528393 0.348846753673151 0.424780091722427 0.315400881688828 0.268403394513519 0.288173510787548 0.379374419324868 0.366710414575774 0.335407742665481 0.289254583121604 0.353870955058389 0.366314058236459 0.309562027058014 0.366314058236459
"más" 0.376925009871846 0.292782419896046 0.384927066450567 0.425263821074185 0.319153076713502 0.291389641303456 0.304488384332005 0.41933980860901 0.347345569370436 0.382967428809768 0.352276246515949 0.424612058982475 0.29903822840055 0.472970331861001 0.436440844572013 0.444809927858558 0.3859970954674 0.444809927858558
"muy" 0.463079297842553 0.463846305678005 0.311993517017828 0.287446842022366 0.358074183629782 0.385783468767955 0.43981655514623 0.458764918820114 0.284191829484902 0.34504986160088 0.371632084236606 0.366710414575774 0.319243514103289 0.316616503146621 0.334211457555145 0.426120435091392 0.382175342046931 0.426120435091392
"como" 0.305129769896256 0.289492729784854 0.271474878444084 0.244132934320365 0.404779511929319 0.373471230403021 0.417261860010526 0.390667001182753 0.335504243141899 0.265422970462215 0.332920408795293 0.378290743457114 0.391982542633153 0.340069577453778 0.314551960051901 0.340148768362427 0.531223725445234 0.340148768362427
"dawn" 0 0.565826699124942 0.0729335494327391 0.169318002835092 0.432024286770716 0.381679389312977 0.124050823246372 0.164868642700978 0.521018354055654 0.447427293064877 0.332920408795293 0.270207673897939 0.0444516285460276 0.187624594457257 0.28702866354736 0.971853623892648 0.198731177864404 0.971853623892648
"mary" 0.477438345837671 0.282913349562471 0.891410048622366 0.547330288234368 0.389211069162807 0.242140687843717 0.379670701451019 0.204293752912082 0.568383658969805 0.379175672088879 0.441313100030969 0.343549756813093 0.0767800856704114 0.128991908689364 0.216254472535682 0.085971666728965 0.229305205228159 0.085971666728965
"anne" 0.470258821840112 0.286203039673663 0.887358184764992 0.539455032288549 0.377534737087923 0.242140687843717 0.383429817306969 0.193541450127236 0.568383658969805 0.386759185530656 0.433570764942707 0.33968964718598 0.0767800856704114 0.128991908689364 0.220186372036331 0.085971666728965 0.236948712069097 0.085971666728965
"había" 0.351796675880389 0.351996841897493 0.311993517017828 0.429201449047094 0.358074183629782 0.307805959123369 0.244342530636794 0.326153184473675 0.280244720742056 0.382967428809768 0.220656550015485 0.185285262101444 0.513214256849592 0.336160731735918 0.294892462548657 0.313983478488394 0.301918520217076 0.313983478488394
"nos" 0.341027389884051 0.424370024343707 0.482171799027553 0.287446842022366 0.186821313198147 0.311910038578347 0.296970152620104 0.354825991899932 0.509177027827117 0.132711485231108 0.375503251780737 0.374430633830001 0.222258142730138 0.390884571785952 0.239845869539575 0.317721377041827 0.210196438125812 0.317721377041827
"casa" 0.369745485874287 0.355286532008685 0.287682333873582 0.472515356749094 0.190713423889775 0.32832635639826 0.244342530636794 0.25088706497975 0.201302545885139 0.227505403253327 0.352276246515949 0.308808770169073 0.266709771276166 0.40261110893953 0.432508945071364 0.276604492954061 0.3859970954674 0.276604492954061
"era" 0.290770721901138 0.328969011119153 0.307941653160454 0.389825169318003 0.365858405013039 0.316014118033325 0.315765731899857 0.268807569621161 0.319715808170515 0.28058999734577 0.181944874574172 0.281788002779279 0.404105714054797 0.273619200250166 0.306688161050604 0.284080290060928 0.374531835205993 0.284080290060928
"estaba" 0.405643105862081 0.427659714454898 0.218800648298217 0.417388565128367 0.346397851554898 0.283181482393499 0.259378994060597 0.311816780760546 0.284191829484902 0.352633375042657 0.247754722824404 0.262487454643712 0.315202456962741 0.277528045968026 0.302756261549955 0.254177101633462 0.27516624627379 0.254177101633462
"si" 0.376925009871846 0.342127771563919 0.235008103727715 0.263821074184911 0.299692523255361 0.283181482393499 0.308247500187956 0.311816780760546 0.292086046970594 0.303340537671103 0.348405078971818 0.285648112406392 0.286915056978906 0.312707657428761 0.365666653560335 0.250439203080028 0.336314301001299 0.250439203080028
"stacey" 0.570772157805937 0.351996841897493 0.255267423014587 0.374074657426366 0.358074183629782 0.114914224739391 0.0864596646868657 0.0322569083545393 0.16183145845668 0.0985856747431085 0.0309693403530505 0.424612058982475 0.00404105714054797 0.24234843450729 0.711673809617426 0.257915000186895 0.210196438125812 0.257915000186895
"dije" 0.229744767921887 0.269754589117705 0.271474878444084 0.255945818239093 0.256879305647453 0.229828449478782 0.22178783550109 0.182789147342389 0.339451351884744 0.246464186857771 0.278724063177454 0.243186906508145 0.286915056978906 0.273619200250166 0.283096764046711 0.18315702911823 0.313383780478484 0.18315702911823
"te" 0.294360483899917 0.296072110007237 0.299837925445705 0.22444479445582 0.233526641497684 0.270869244028564 0.248101646492745 0.204293752912082 0.307874481941978 0.398134455693323 0.197429544750697 0.18142515247433 0.315202456962741 0.261892663096588 0.157275980025951 0.18315702911823 0.233126958648628 0.18315702911823
"bien" 0.269232149908461 0.253306138561747 0.255267423014587 0.212631910537092 0.214066088039544 0.295493720758434 0.233065183068942 0.215046055696928 0.149990132228143 0.303340537671103 0.367760916692474 0.258627345016598 0.246504485573426 0.152444982996521 0.302756261549955 0.250439203080028 0.233126958648628 0.250439203080028
"ya" 0.341027389884051 0.325679321007961 0.129659643435981 0.208694282564183 0.206281866656288 0.221620290568825 0.187955792797534 0.222214257553493 0.157884349713835 0.189587836044439 0.209043047383091 0.204585810237011 0.19801179988685 0.269710354532307 0.231982070538277 0.291556087167794 0.202552931284874 0.291556087167794
"luego" 0.168718813942636 0.256595828672939 0.247163695299838 0.216569538510002 0.206281866656288 0.192891734383978 0.206751372077287 0.111107128776746 0.307874481941978 0.235088916695105 0.278724063177454 0.258627345016598 0.177806514184111 0.218895360200133 0.251641568041521 0.280342391507494 0.229305205228159 0.280342391507494
"vez" 0.229744767921887 0.289492729784854 0.218800648298217 0.22444479445582 0.217958198731172 0.180579496019043 0.180437561085633 0.247302964051468 0.224985198342214 0.227505403253327 0.201300712294828 0.220026248745464 0.250545542713974 0.297072274557323 0.208390673534384 0.175681232011363 0.328670794160361 0.175681232011363
"sí" 0.262052625910902 0.30265149022962 0.210696920583468 0.255945818239093 0.315260966021874 0.30370187966839 0.251860762348696 0.143364037131286 0.130254588513914 0.193379592765328 0.247754722824404 0.154404385084536 0.230340257011234 0.191533440175116 0.173003578028546 0.164467536351063 0.259879232591913 0.164467536351063
"sus" 0.132821193954841 0.131587604447661 0.182333873581848 0.169318002835092 0.190713423889775 0.201099893293934 0.184196676941583 0.247302964051468 0.201302545885139 0.200963106207106 0.255497057912666 0.247047016135258 0.226299199870686 0.23843958878943 0.228050171037628 0.239225507419729 0.305740273637545 0.239225507419729
"niños" 0.129231431956061 0.174353575893151 0.393030794165316 0.122066467160183 0.128439652823726 0.172371337109086 0.116532591534471 0.336905487258521 0.335504243141899 0.166837295719107 0.0774233508826262 0.463213155253609 0.323284571243837 0.128991908689364 0.12582078402076 0.108399058049565 0.363066574944585 0.108399058049565
"club" 0.114872383960943 0.243437068228173 0.0405186385737439 0.0787525594581824 0.249095084264196 0.443240581137651 0.124050823246372 0.172036844557543 0.169725675942372 0.299548780950214 0.340662743883555 0.277927893152166 0.173765457043563 0.191533440175116 0.220186372036331 0.19437072477853 0.22166169838722 0.19437072477853
"señora" 0.215385719926769 0.292782419896046 0.137763371150729 0.141754607024728 0.276339859105593 0.135434622014282 0.187955792797534 0.279559872406007 0.0907835010854549 0.12512797178933 0.14710436667699 0.0733420829151548 0.157601228481371 0.156353828714381 0.200526874533087 0.313983478488394 0.366888328365054 0.313983478488394
"todo" 0.233334529920666 0.174353575893151 0.20259319286872 0.204756654591274 0.214066088039544 0.262661085118608 0.184196676941583 0.258055266836314 0.209196763370831 0.15546202555644 0.181944874574172 0.231606577626805 0.234381314151782 0.211077668764414 0.173003578028546 0.175681232011363 0.16815715050065 0.175681232011363
"o" 0.168718813942636 0.226988617672215 0.178282009724473 0.169318002835092 0.24131086288094 0.176475416564065 0.259378994060597 0.154116339916132 0.213143872113677 0.166837295719107 0.166460204397646 0.200725700609897 0.101026428513699 0.24234843450729 0.192663075531789 0.168205434904497 0.324849040739891 0.168205434904497
"mamá" 0.089744049969487 0.115139153891703 0.121555915721232 0.287446842022366 0.0505974389911649 0.176475416564065 0.379670701451019 0.114691229705028 0.146043023485297 0.121336215068441 0.17807370703004 0.436192387863815 0.177806514184111 0.695774537778994 0.117956985019463 0.0971853623892648 0.0726133149889169 0.0971853623892648
